Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,1.24,1.24,1.24,1.24,000,1.24
2012-06-01,1.23,1.23,1.23,1.23,000,1.23
2012-05-31,1.24,1.24,1.24,1.24,000,1.24
2012-05-30,1.24,1.24,1.24,1.24,000,1.24
2012-05-29,1.25,1.25,1.25,1.25,000,1.25
2012-05-28,1.26,1.26,1.26,1.26,000,1.26
2012-05-25,1.26,1.26,1.26,1.26,000,1.26
2012-05-24,1.27,1.27,1.26,1.26,000,1.26
2012-05-23,1.27,1.27,1.27,1.27,000,1.27
2012-05-22,1.28,1.28,1.28,1.28,000,1.28
2012-05-21,1.28,1.28,1.28,1.28,000,1.28
2012-05-16,1.27,1.27,1.27,1.27,000,1.27
2012-05-14,1.29,1.29,1.29,1.29,000,1.29
2012-05-11,1.29,1.29,1.29,1.29,000,1.29
2012-05-10,1.29,1.29,1.29,1.29,000,1.29
2012-05-09,1.30,1.30,1.30,1.30,000,1.30
2012-05-08,1.30,1.30,1.30,1.30,000,1.30
2012-05-07,1.30,1.30,1.30,1.30,000,1.30
2012-05-04,1.31,1.31,1.31,1.31,000,1.31
2012-05-03,1.31,1.31,1.31,1.31,000,1.31
2012-05-02,1.31,1.31,1.31,1.31,000,1.31
2012-04-30,1.32,1.32,1.32,1.32,000,1.32
2012-04-27,1.32,1.32,1.32,1.32,000,1.32
2012-04-26,1.32,1.32,1.32,1.32,000,1.32
2012-04-25,1.32,1.32,1.32,1.32,000,1.32
2012-04-24,1.32,1.32,1.32,1.32,000,1.32
2012-04-23,1.31,1.31,1.31,1.31,000,1.31
2012-04-20,1.32,1.32,1.32,1.32,000,1.32
2012-04-19,1.31,1.31,1.31,1.31,000,1.31
2012-04-18,1.31,1.31,1.31,1.31,000,1.31
2012-04-17,1.31,1.31,1.31,1.31,000,1.31
2012-04-16,1.30,1.30,1.30,1.30,000,1.30
2012-04-13,1.32,1.32,1.32,1.32,000,1.32
2012-04-12,1.31,1.31,1.31,1.31,000,1.31
2012-04-11,1.31,1.31,1.31,1.31,000,1.31
2012-04-10,1.31,1.31,1.31,1.31,000,1.31
2012-04-05,1.31,1.31,1.31,1.31,000,1.31
2012-04-04,1.32,1.32,1.32,1.32,000,1.32
2012-04-03,1.33,1.33,1.33,1.33,000,1.33
2012-04-02,1.33,1.33,1.33,1.33,000,1.33
2012-03-30,1.33,1.33,1.33,1.33,000,1.33
2012-03-29,1.33,1.33,1.33,1.33,000,1.33
2012-03-28,1.33,1.33,1.33,1.33,000,1.33
2012-03-27,1.34,1.34,1.34,1.34,000,1.34
2012-03-26,1.32,1.32,1.32,1.32,000,1.32
2012-03-23,1.32,1.32,1.32,1.32,000,1.32
2012-03-22,1.32,1.32,1.32,1.32,000,1.32
2012-03-21,1.32,1.32,1.32,1.32,000,1.32
2012-03-20,1.32,1.32,1.32,1.32,000,1.32
2012-03-19,1.32,1.32,1.32,1.32,000,1.32
2012-03-16,1.31,1.31,1.31,1.31,000,1.31
2012-03-15,1.31,1.31,1.31,1.31,000,1.31
2012-03-14,1.31,1.31,1.31,1.31,000,1.31
2012-03-13,1.31,1.31,1.31,1.31,000,1.31
2012-03-12,1.31,1.31,1.31,1.31,000,1.31
2012-03-08,1.32,1.32,1.32,1.32,000,1.32
2012-03-07,1.31,1.31,1.31,1.31,000,1.31
2012-03-06,1.31,1.31,1.31,1.31,000,1.31
2012-03-05,1.32,1.32,1.32,1.32,000,1.32
2012-03-02,1.32,1.32,1.32,1.32,000,1.32
2012-03-01,1.33,1.33,1.33,1.33,000,1.33
